,V1,V2,V3,V4,V5
1,1.11699999999996,0.812000000000012,1.59500000000003,0.197999999999979,0.0800000000000409
2,1.78499999999997,1.79099999999994,3.57100000000003,0.192999999999984,0.0370000000000346
3,4.12099999999998,3.73800000000006,8.1099999999999,0.197000000000003,0.0410000000000537
4,8.40099999999995,8.35800000000006,17.962,0.194999999999936,0.04099999999994
5,18.2489999999999,17.7449999999999,38.3099999999999,0.203999999999951,0.04099999999994
6,39.0350000000001,38.674,79.1369999999999,0.194999999999936,0.0380000000000109
7,84.0079999999998,83.4639999999999,170.239,0.19600000000014,0.0389999999999873
8,181.221,178.568,351.62,0.186000000000149,0.0380000000000109
9,388.999,387.632,766.411,0.213000000000193,0.0399999999999636
10,820.486,812.375,1677.596,0.213999999999942,0.0389999999997599
